candidate_name,end_date_numeric,end_date,average_pct,state,pct
Donald Trump,19852,2024-05-09,43.92307692307692, Overall,0.4392307692307692
Donald Trump,19855,2024-05-12,47, Overall,0.47
Donald Trump,19856,2024-05-13,46.166666666666664, Overall,0.46166666666666667
Donald Trump,19857,2024-05-14,43.5, Overall,0.435
Donald Trump,19859,2024-05-16,46.57142857142857, Overall,0.4657142857142857
Donald Trump,19862,2024-05-19,43.166666666666664, Overall,0.43166666666666664
Donald Trump,19864,2024-05-21,43.4, Overall,0.434
Donald Trump,19874,2024-05-31,39.5, Overall,0.395
Donald Trump,19877,2024-06-03,47.42857142857143, Overall,0.4742857142857143
Donald Trump,19880,2024-06-06,47, Overall,0.47
Donald Trump,19892,2024-06-18,47.45, Overall,0.47450000000000003
Donald Trump,19893,2024-06-19,44, Overall,0.44
Donald Trump,19894,2024-06-20,46.5, Overall,0.465
Donald Trump,19906,2024-07-02,46.285714285714285, Overall,0.46285714285714286
Donald Trump,19908,2024-07-04,45.875, Overall,0.45875
Donald Trump,19909,2024-07-05,43, Overall,0.43
Donald Trump,19915,2024-07-11,47.27777777777778, Overall,0.4727777777777778
Donald Trump,19916,2024-07-12,47.5, Overall,0.475
Donald Trump,19917,2024-07-13,44, Overall,0.44
Donald Trump,19919,2024-07-15,45.25, Overall,0.4525
Donald Trump,19920,2024-07-16,46, Overall,0.46
Donald Trump,19921,2024-07-17,46, Overall,0.46
Donald Trump,19922,2024-07-18,46, Overall,0.46
Donald Trump,19924,2024-07-20,47.125, Overall,0.47125
Donald Trump,19927,2024-07-23,48.36, Overall,0.4836
Donald Trump,19928,2024-07-24,47.333333333333336, Overall,0.4733333333333334
Donald Trump,19929,2024-07-25,45.5, Overall,0.455
Donald Trump,19930,2024-07-26,49.45, Overall,0.49450000000000005
Donald Trump,19932,2024-07-28,45.373333333333335, Overall,0.4537333333333333
Donald Trump,19934,2024-07-30,48, Overall,0.48
Donald Trump,19936,2024-08-01,46.5, Overall,0.465
Donald Trump,19940,2024-08-05,45, Overall,0.45
Donald Trump,19943,2024-08-08,44.75, Overall,0.4475
Donald Trump,19944,2024-08-09,45, Overall,0.45
Donald Trump,19946,2024-08-11,42, Overall,0.42
Donald Trump,19949,2024-08-14,45.4, Overall,0.45399999999999996
Donald Trump,19950,2024-08-15,45.38, Overall,0.45380000000000004
